timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682549542015,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-83,text,false,,1209,0,88,88,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549520018,29730,Get all project phases,500,Internal Server Error,Thread group 1-10,,false,,111,137,87,87,http://172.16.1.2:32785/api-gateway/phases,29730,0,0
1682549520017,29731,Get all project phases,500,Internal Server Error,Thread group 1-18,,false,,111,137,87,87,http://172.16.1.2:32785/api-gateway/phases,29731,0,0
1682549549748,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-18,text,false,,1213,0,87,87,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549549748,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-10,text,false,,1213,0,87,87,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549549748,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-18,text,false,,1209,0,87,87,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549549748,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-10,text,false,,1209,0,87,87,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549520018,29731,Get all project phases,500,Internal Server Error,Thread group 1-39,,false,,111,137,85,85,http://172.16.1.2:32785/api-gateway/phases,29731,0,0
1682549520027,29722,Get all project phases,500,Internal Server Error,Thread group 1-15,,false,,111,137,85,85,http://172.16.1.2:32785/api-gateway/phases,29722,0,0
1682549549749,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-39,text,false,,1213,0,85,85,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549520019,29730,Get all project phases,500,Internal Server Error,Thread group 1-52,,false,,111,137,85,85,http://172.16.1.2:32785/api-gateway/phases,29730,0,0
1682549549750,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-39,text,false,,1209,0,85,85,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549549750,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-15,text,false,,1213,0,85,85,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549549750,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-52,text,false,,1213,0,85,85,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549549750,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-52,text,false,,1209,0,84,84,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549549750,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-15,text,false,,1209,0,84,84,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549520021,29730,Get all project phases,500,Internal Server Error,Thread group 1-2,,false,,111,137,82,82,http://172.16.1.2:32785/api-gateway/phases,29730,0,0
1682549520027,29724,Get all project phases,500,Internal Server Error,Thread group 1-80,,false,,111,137,82,82,http://172.16.1.2:32785/api-gateway/phases,29724,0,0
1682549549751,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-2,text,false,,1213,0,82,82,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549549752,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-2,text,false,,1209,0,82,82,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549549752,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-80,text,false,,1213,0,82,82,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
1682549549752,0,Delete project,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://172.16.1.2:32785/api-gateway/projects/${project_id},Thread group 1-80,text,false,,1209,0,82,82,http://172.16.1.2:32785/api-gateway/projects/${project_id},0,0,0
1682549530051,19715,Get all project phases,500,Internal Server Error,Thread group 1-77,,false,,111,137,80,80,http://172.16.1.2:32785/api-gateway/phases,19715,0,0
1682549520023,29743,Get all project phases,500,Internal Server Error,Thread group 1-7,,false,,111,137,80,80,http://172.16.1.2:32785/api-gateway/phases,29743,0,0
1682549520021,29745,Get all project phases,500,Internal Server Error,Thread group 1-14,,false,,111,137,80,80,http://172.16.1.2:32785/api-gateway/phases,29745,0,0
1682549549766,0,Delete project phase,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 44: http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},Thread group 1-77,text,false,,1213,0,80,80,http://172.16.1.2:32785/api-gateway/phases/${project_phase_id},0,0,0
